mls_number,listing_url,price_raw,price,property_type,address,city_province_postal,latitude,longitude,bedrooms,bathrooms,half_bathrooms,size_interior,stories,building_type,parking_spaces_total,description,photo_url,listed_date_utc,days_on_market,agent_name,brokerage_name,brokerage_phone
A2339932,https://www.realtor.ca/real-estate/30202612/42-west-grove-way-sw-calgary-west-springs,"$1,098,000",1098000.0,Single Family,42 West Grove Way SW,"Calgary, Alberta T3H1Y8",51.05591899,-114.191873231,4,4,0,2518.19 sqft,2,House,4,,https://cdn.realtor.ca/listings/TS639233925377370000/reb9/medres/2/A2339932_1.jpg,639234069377300000,4 hours ago,Yan Gong,RE/MAX House of Real Estate,287-3880
A2340536,https://www.realtor.ca/real-estate/30202587/334-chaparral-valley-drive-se-calgary-chaparral,"$489,999",489999.0,Single Family,334 Chaparral Valley Drive SE,"Calgary, Alberta T2X0P7",50.885121134,-114.014821123,3,3,1,1573.77 sqft,2,Duplex,2,,https://cdn.realtor.ca/listings/TS639233902609030000/reb9/medres/6/A2340536_1.jpg,639234046608970000,4 hours ago,Harshdeep Gadhok,Executive Real Estate Services,926-9999
A2340478,https://www.realtor.ca/real-estate/30202580/157-walden-park-se-calgary-walden,"$725,000",725000.0,Single Family,157 Walden Park SE,"Calgary, Alberta T2X0Z1",50.8718649,-114.030948,3,3,1,2014.42 sqft,2,House,4,,https://cdn.realtor.ca/listings/TS639233890653770000/reb9/medres/8/A2340478_1.jpg,639234034653700000,5 hours ago,Jim Sidhu,LPT Realty,366-2213
A2339839,https://www.realtor.ca/real-estate/30202490/643-36-street-sw-calgary-spruce-cliff,"$1,195,000",1195000.0,Single Family,643 36 Street SW,"Calgary, Alberta T3C1R1",51.046086219,-114.140145469,3 + 1,5,1,2168.49 sqft,2,House,2,,https://cdn.realtor.ca/listings/TS639233854417130000/reb9/medres/9/A2339839_1.jpg,639233998417100000,6 hours ago,Lisa Johnson,RE/MAX House of Real Estate,287-3880
A2340233,https://www.realtor.ca/real-estate/30202479/236-scenic-acres-terrace-nw-calgary-scenic-acres,"$515,000",515000.0,Single Family,236 Scenic Acres Terrace NW,"Calgary, Alberta T3L1K5",51.11494879,-114.22189065,3,2,1,1539 sqft,2,Row / Townhouse,1,,https://cdn.realtor.ca/listings/TS639233847816500000/reb9/medres/3/A2340233_1.jpg,639233991816470000,6 hours ago,Anthony Massink-Wttewaall,Comox Realty,456-3688
A2340477,https://www.realtor.ca/real-estate/30202468/716-55-ave-avenue-sw-calgary-windsor-park,"$1,200,000",1200000.0,Single Family,"716, 55 ave Avenue SW","Calgary, Alberta T2V0G3",51.0042774,-114.0813768,3 + 2,2,0,1088 sqft,1,House,5,,https://cdn.realtor.ca/listings/TS639233837592130000/reb9/medres/7/A2340477_1.jpg,639233981592100000,6 hours ago,Rubena Jessa,Ko Realty Ltd.,400-0699
A2340165,https://www.realtor.ca/real-estate/30202440/68-spring-valley-way-sw-calgary-springbank-hill,"$1,780,000",1780000.0,Single Family,68 Spring Valley Way SW,"Calgary, Alberta T3H4V2",51.026794269,-114.204111106,2 + 1,4,1,2744 sqft,1.5,House,4,,https://cdn.realtor.ca/listings/TS639233819560430000/reb9/medres/5/A2340165_1.jpg,639233963560370000,7 hours ago,Chris Dingle,REMAX Innovations,228-5557
A2339663,https://www.realtor.ca/real-estate/30202423/12-mt-norquay-gate-se-calgary-mckenzie-lake,"$1,099,000",1099000.0,Single Family,12 Mt Norquay Gate SE,"Calgary, Alberta T2Z2L3",50.905767512,-113.998017197,4 + 1,4,1,2599.66 sqft,2,House,4,,https://cdn.realtor.ca/listings/TS639233811086670000/reb9/medres/3/A2339663_1.jpg,639233955086600000,7 hours ago,Anne Clarke-Davidson,Real Estate Professionals Inc.,547-4102
A2340414,https://www.realtor.ca/real-estate/30202337/76-200-shawnessy-drive-sw-calgary-shawnessy,"$390,000",390000.0,Single Family,"76, 200 Shawnessy Drive SW","Calgary, Alberta T2Y1G8",50.908282522,-114.079230719,2,2,1,1116.5 sqft,2,Row / Townhouse,,,https://cdn.realtor.ca/listings/TS639233801216200000/reb9/medres/4/A2340414_1.jpg,639233945216170000,7 hours ago,Cory J. Smith,RE/MAX Landan Real Estate,256-3888
A2340133,https://www.realtor.ca/real-estate/30202304/2352-7-street-nw-calgary-mount-pleasant,"$749,000",749000.0,Single Family,2352 7 Street NW,"Calgary, Alberta T2M1T1",51.07304853,-114.078649391,3 + 1,4,1,1442.97 sqft,2,Row / Townhouse,1,,https://cdn.realtor.ca/listings/TS639233783659070000/reb9/medres/3/A2340133_1.jpg,639233927659030000,8 hours ago,Justin Warthe,Real Broker,623-6900
A2339977,https://www.realtor.ca/real-estate/30202291/8512-33-avenue-nw-calgary-bowness,"$588,800",588800.0,Single Family,8512 33 Avenue NW,"Calgary, Alberta T3B1M1",51.089521732,-114.210128998,3,2,0,1353.1 sqft,1,House,2,,https://cdn.realtor.ca/listings/TS639233776464600000/reb9/medres/7/A2339977_1.jpg,639233920464570000,8 hours ago,Anthony Massink-Wttewaall,Comox Realty,456-3688
A2337754,https://www.realtor.ca/real-estate/30202268/43-cromwell-avenue-nw-calgary-collingwood,"$1,599,500",1599500.0,Single Family,43 Cromwell Avenue NW,"Calgary, Alberta T2L0M6",51.086668176,-114.097448044,2 + 2,3,0,1757.96 sqft,1,House,6,,https://cdn.realtor.ca/listings/TS639233764474270000/reb9/medres/4/A2337754_1.jpg,639233908474200000,8 hours ago,Randy Hall,Royal LePage Benchmark,253-1901
A2339895,https://www.realtor.ca/real-estate/30202200/115-coulee-way-sw-calgary-cougar-ridge,"$1,778,000",1778000.0,Single Family,115 Coulee Way SW,"Calgary, Alberta T3H0S4",51.069152062,-114.196289315,4 + 2,5,1,3252.83 sqft,2,House,6,,https://cdn.realtor.ca/listings/TS639233746210230000/reb9/medres/5/A2339895_1.jpg,639233890210200000,9 hours ago,Ivan Cilic,RE/MAX Real Estate (Mountain View),247-5171
A2316693,https://www.realtor.ca/real-estate/30202199/14-panatella-crescent-nw-calgary-panorama-hills,"$1,000,050",1000050.0,Single Family,14 Panatella Crescent NW,"Calgary, Alberta T3K0H4",51.165233855,-114.081351195,4 + 1,4,1,2459.76 sqft,2,House,4,,https://cdn.realtor.ca/listings/TS639233746036670000/reb9/medres/3/A2316693_1.jpg,639233890036630000,9 hours ago,Tanya Vaillancourt,RE/MAX Realty Professionals,259-4141
